Yr,Mes,Mujer,Hombre
1936,10,9,6
1936,11,9,6
1936,12,9,6
1937,1,9,6
1937,2,9,6
1937,3,9,6
1937,4,9,6
1937,5,9,6
1937,6,9,6
1937,7,9,6
1937,8,1,2
1937,9,1,2
1937,10,1,2
1937,11,1,2
1937,12,1,2
1938,1,1,2
1938,2,1,2
1938,3,1,2
1938,4,1,2
1938,5,1,2
1938,6,1,2
1938,7,1,2
1938,8,2,4
1938,9,2,4
1938,10,2,4
1938,11,2,4
1938,12,2,4
1939,1,2,4
1939,2,2,4
1939,3,2,4
1939,4,2,4
1939,5,2,4
1939,6,2,4
1939,7,2,4
1939,8,3,3
1939,9,3,3
1939,10,3,3
1939,11,3,3
1939,12,3,3
1940,1,3,3
1940,2,3,3
1940,3,3,3
1940,4,3,3
1940,5,3,3
1940,6,3,3
1940,7,3,3
1940,8,4,2
1940,9,4,2
1940,10,4,2
1940,11,4,2
1940,12,4,2
1941,1,4,2
1941,2,4,2
1941,3,4,2
1941,4,4,2
1941,5,4,2
1941,6,4,2
1941,7,4,2
1941,8,8,1
1941,9,8,1
1941,10,8,1
1941,11,8,1
1941,12,8,1
1942,1,8,1
1942,2,8,1
1942,3,8,1
1942,4,8,1
1942,5,8,1
1942,6,8,1
1942,7,8,1
1942,8,6,9
1942,9,6,9
1942,10,6,9
1942,11,6,9
1942,12,6,9
1943,1,6,9
1943,2,6,9
1943,3,6,9
1943,4,6,9
1943,5,6,9
1943,6,6,9
1943,7,6,9
1943,8,7,8
1943,9,7,8
1943,10,7,8
1943,11,7,8
1943,12,7,8
1944,1,7,8
1944,2,7,8
1944,3,7,8
1944,4,7,8
1944,5,7,8
1944,6,7,8
1944,7,7,8
1944,8,8,7
1944,9,8,7
1944,10,8,7
1944,11,8,7
1944,12,8,7
1945,1,8,7
1945,2,8,7
1945,3,8,7
1945,4,8,7
1945,5,8,7
1945,6,8,7
1945,7,8,7
1945,8,9,6
1945,9,9,6
1945,10,9,6
1945,11,9,6
1945,12,9,6
1946,1,9,6
1946,2,9,6
1946,3,9,6
1946,4,9,6
